route_id,origin,destination,cargo_type,containers,recommended_ship,imo_number,speed,latitude,longitude,departure_port,arrival_port,origin_country,destination_country
24,Dubai,Santos,Bulk Cargo,100,Neptune Star,9300023,23.9,25.2048,55.2708,Dubai,Santos,UAE,Brazil
25,Jebel Ali,Shanghai,Container,25,Sea Voyager,9300017,24.1,25.0657,55.1713,Jebel Ali,Shanghai,UAE,China
26,Singapore,Los Angeles,Refrigerated Cargo,10,Golden Wave,9300026,24.3,1.3521,103.8198,Singapore,Los Angeles,Singapore,USA
27,Mumbai,Santos,Liquid Cargo,50,Blue Horizon,9300020,13.7,19.076,72.8777,Mumbai,Santos,India,Brazil
28,Dubai,New York,Container,40,Neptune Star,9300027,23.3,25.2048,55.2708,Dubai,New York,UAE,USA
29,Valencia,Rotterdam,Refrigerated Cargo,30,Pacific Pearl,9300024,17.2,39.4699,-0.3763,Valencia,Rotterdam,Spain,Netherlands
30,Antwerp,Colombo,Bulk Cargo,10,Sea Voyager,9300012,15.2,51.2194,4.4025,Antwerp,Colombo,Belgium,Sri Lanka
31,Shanghai,Durban,General Cargo,20,Neptune Star,9300020,15.0,31.2304,121.4737,Shanghai,Durban,China,South Africa
32,Mumbai,Singapore,Bulk Cargo,5,Global Trader,9300016,12.9,19.076,72.8777,Mumbai,Singapore,India,Singapore
33,Mumbai,Valencia,Container,50,Global Trader,9300017,15.6,19.076,72.8777,Mumbai,Valencia,India,Spain
34,Valencia,Kolkata,Refrigerated Cargo,20,Golden Wave,9300024,19.5,39.4699,-0.3763,Valencia,Kolkata,Spain,India
35,Sydney,Rotterdam,Bulk Cargo,40,Sea Voyager,9300017,13.3,-33.8688,151.2093,Sydney,Rotterdam,Australia,Netherlands
36,Sydney,Colombo,General Cargo,5,Cargo Express,9300024,23.2,-33.8688,151.2093,Sydney,Colombo,Australia,Sri Lanka
37,Singapore,Sydney,Container,10,Atlantic Spirit,9300023,22.4,1.3521,103.8198,Singapore,Sydney,Singapore,Australia
38,Rotterdam,Hamburg,Container,40,Neptune Star,9300027,17.8,51.9244,4.4777,Rotterdam,Hamburg,Netherlands,Germany
39,Los Angeles,Jebel Ali,Refrigerated Cargo,10,Global Trader,9300023,23.4,33.7405,-118.2755,Los Angeles,Jebel Ali,USA,UAE
40,Valencia,Chennai,General Cargo,75,Ocean Star,9300011,20.5,39.4699,-0.3763,Valencia,Chennai,Spain,India
41,Mumbai,Los Angeles,Container,50,Blue Horizon,9300014,17.3,19.076,72.8777,Mumbai,Los Angeles,India,USA
42,Tokyo,Singapore,Bulk Cargo,40,Blue Horizon,9300015,16.9,35.6762,139.6503,Tokyo,Singapore,Japan,Singapore
43,Colombo,New York,Refrigerated Cargo,75,Maritime Eagle,9300020,21.1,6.9271,79.8612,Colombo,New York,Sri Lanka,USA
44,Kolkata,Hamburg,Liquid Cargo,5,Pacific Pearl,9300019,14.8,22.5726,88.3639,Kolkata,Hamburg,India,Germany
45,Valencia,Singapore,Refrigerated Cargo,100,Atlantic Spirit,9300021,12.7,39.4699,-0.3763,Valencia,Singapore,Spain,Singapore
46,Antwerp,Valencia,General Cargo,75,Blue Horizon,9300019,12.7,51.2194,4.4025,Antwerp,Valencia,Belgium,Spain
47,Dubai,Mumbai,Refrigerated Cargo,20,Golden Wave,9300027,12.9,25.2048,55.2708,Dubai,Mumbai,UAE,India
48,Chennai,Durban,Liquid Cargo,5,Global Trader,9300022,19.5,13.0827,80.2707,Chennai,Durban,India,South Africa
49,Mumbai,Colombo,Bulk Cargo,30,Golden Wave,9300029,19.3,19.076,72.8777,Mumbai,Colombo,India,Sri Lanka
50,Rotterdam,Hong Kong,Bulk Cargo,15,Global Trader,9300014,15.5,51.9244,4.4777,Rotterdam,Hong Kong,Netherlands,Hong Kong
51,Colombo,Busan,Liquid Cargo,100,Sea Voyager,9300013,12.1,6.9271,79.8612,Colombo,Busan,Sri Lanka,South Korea
52,Chennai,Mumbai,Container,25,Neptune Star,9300021,14.8,13.0827,80.2707,Chennai,Mumbai,India,India
53,Hong Kong,Mumbai,Refrigerated Cargo,15,Global Trader,9300017,16.8,22.3193,114.1694,Hong Kong,Mumbai,Hong Kong,India
54,Valencia,New York,General Cargo,75,Golden Wave,9300024,24.8,39.4699,-0.3763,Valencia,New York,Spain,USA
55,Valencia,New York,Bulk Cargo,15,Sea Voyager,9300017,24.2,39.4699,-0.3763,Valencia,New York,Spain,USA
56,Chennai,Kolkata,Liquid Cargo,25,Neptune Star,9300025,14.0,13.0827,80.2707,Chennai,Kolkata,India,India
57,Rotterdam,Hong Kong,Liquid Cargo,25,Global Trader,9300021,20.9,51.9244,4.4777,Rotterdam,Hong Kong,Netherlands,Hong Kong
58,Jebel Ali,Los Angeles,Bulk Cargo,40,Ocean Star,9300019,13.2,25.0657,55.1713,Jebel Ali,Los Angeles,UAE,USA
59,Singapore,Shanghai,Container,25,Atlantic Spirit,9300025,22.0,1.3521,103.8198,Singapore,Shanghai,Singapore,China
60,Colombo,Santos,General Cargo,10,Maritime Eagle,9300017,19.3,6.9271,79.8612,Colombo,Santos,Sri Lanka,Brazil
61,Kolkata,Santos,Liquid Cargo,100,Ocean Star,9300012,22.8,22.5726,88.3639,Kolkata,Santos,India,Brazil
62,Kolkata,Colombo,General Cargo,30,Blue Horizon,9300015,12.5,22.5726,88.3639,Kolkata,Colombo,India,Sri Lanka
63,Hong Kong,Rotterdam,Liquid Cargo,30,Global Trader,9300017,20.7,22.3193,114.1694,Hong Kong,Rotterdam,Hong Kong,Netherlands
64,Sydney,Kolkata,Refrigerated Cargo,15,Global Trader,9300018,23.2,-33.8688,151.2093,Sydney,Kolkata,Australia,India
65,Shanghai,Rotterdam,Container,40,Atlantic Spirit,9300021,22.2,31.2304,121.4737,Shanghai,Rotterdam,China,Netherlands
66,Los Angeles,Dubai,Refrigerated Cargo,5,Sea Voyager,9300018,17.0,33.7405,-118.2755,Los Angeles,Dubai,USA,UAE
67,Hamburg,Rotterdam,Container,20,Cargo Express,9300025,16.5,53.5511,9.9937,Hamburg,Rotterdam,Germany,Netherlands
68,Shanghai,Hamburg,Bulk Cargo,10,Maritime Eagle,9300025,16.3,31.2304,121.4737,Shanghai,Hamburg,China,Germany
69,Hong Kong,Valencia,Bulk Cargo,75,Maritime Eagle,9300026,20.8,22.3193,114.1694,Hong Kong,Valencia,Hong Kong,Spain
70,Shanghai,Kolkata,General Cargo,25,Pacific Pearl,9300015,14.3,31.2304,121.4737,Shanghai,Kolkata,China,India
71,Chennai,Colombo,Refrigerated Cargo,30,Atlantic Spirit,9300017,21.5,13.0827,80.2707,Chennai,Colombo,India,Sri Lanka
72,Durban,Antwerp,Container,100,Sea Voyager,9300014,17.0,-29.8587,31.0218,Durban,Antwerp,South Africa,Belgium
73,Los Angeles,Singapore,Container,75,Maritime Eagle,9300020,12.0,33.7405,-118.2755,Los Angeles,Singapore,USA,Singapore
74,Hong Kong,Colombo,Liquid Cargo,30,Sea Voyager,9300016,24.3,22.3193,114.1694,Hong Kong,Colombo,Hong Kong,Sri Lanka
75,Busan,Chennai,Bulk Cargo,40,Pacific Pearl,9300020,18.6,35.1796,129.0756,Busan,Chennai,South Korea,India
76,Tokyo,New York,Refrigerated Cargo,40,Neptune Star,9300025,13.7,35.6762,139.6503,Tokyo,New York,Japan,USA
77,Dubai,Durban,Bulk Cargo,5,Pacific Pearl,9300022,17.3,25.2048,55.2708,Dubai,Durban,UAE,South Africa
78,New York,Rotterdam,Bulk Cargo,100,Maritime Eagle,9300025,22.2,40.7128,-74.006,New York,Rotterdam,USA,Netherlands
79,Colombo,Jebel Ali,Refrigerated Cargo,75,Cargo Express,9300027,20.8,6.9271,79.8612,Colombo,Jebel Ali,Sri Lanka,UAE
80,Dubai,Mumbai,Bulk Cargo,100,Pacific Pearl,9300015,18.7,25.2048,55.2708,Dubai,Mumbai,UAE,India
81,Mumbai,Los Angeles,Container,20,Pacific Pearl,9300016,14.9,19.076,72.8777,Mumbai,Los Angeles,India,USA
82,Shanghai,Mumbai,General Cargo,100,Global Trader,9300016,24.8,31.2304,121.4737,Shanghai,Mumbai,China,India
83,Colombo,Sydney,Refrigerated Cargo,40,Golden Wave,9300023,14.5,6.9271,79.8612,Colombo,Sydney,Sri Lanka,Australia
84,Tokyo,Hamburg,General Cargo,5,Blue Horizon,9300017,20.5,35.6762,139.6503,Tokyo,Hamburg,Japan,Germany
85,Sydney,Hamburg,Refrigerated Cargo,75,Blue Horizon,9300018,22.5,-33.8688,151.2093,Sydney,Hamburg,Australia,Germany
86,Singapore,Santos,Refrigerated Cargo,10,Global Trader,9300020,23.9,1.3521,103.8198,Singapore,Santos,Singapore,Brazil
87,Kolkata,Jebel Ali,Bulk Cargo,100,Neptune Star,9300026,24.8,22.5726,88.3639,Kolkata,Jebel Ali,India,UAE
88,Colombo,Valencia,Refrigerated Cargo,75,Maritime Eagle,9300025,22.8,6.9271,79.8612,Colombo,Valencia,Sri Lanka,Spain
89,Dubai,Antwerp,Bulk Cargo,20,Cargo Express,9300027,15.4,25.2048,55.2708,Dubai,Antwerp,UAE,Belgium
90,Antwerp,Jebel Ali,Bulk Cargo,10,Global Trader,9300014,15.6,51.2194,4.4025,Antwerp,Jebel Ali,Belgium,UAE
91,Hamburg,New York,General Cargo,75,Atlantic Spirit,9300017,16.2,53.5511,9.9937,Hamburg,New York,Germany,USA
92,Kolkata,Dubai,Container,15,Global Trader,9300016,17.0,22.5726,88.3639,Kolkata,Dubai,India,UAE
93,Mumbai,Colombo,Refrigerated Cargo,50,Maritime Eagle,9300020,16.3,19.076,72.8777,Mumbai,Colombo,India,Sri Lanka
94,Singapore,Hamburg,General Cargo,100,Maritime Eagle,9300021,17.1,1.3521,103.8198,Singapore,Hamburg,Singapore,Germany
95,Santos,Tokyo,Bulk Cargo,30,Cargo Express,9300023,12.1,-23.9608,-46.3336,Santos,Tokyo,Brazil,Japan
96,Tokyo,Colombo,Liquid Cargo,75,Neptune Star,9300025,21.7,35.6762,139.6503,Tokyo,Colombo,Japan,Sri Lanka
97,Hamburg,Antwerp,General Cargo,50,Global Trader,9300021,15.5,53.5511,9.9937,Hamburg,Antwerp,Germany,Belgium
98,Tokyo,Busan,Container,50,Maritime Eagle,9300025,21.4,35.6762,139.6503,Tokyo,Busan,Japan,South Korea
99,Durban,Valencia,Liquid Cargo,100,Ocean Star,9300020,23.8,-29.8587,31.0218,Durban,Valencia,South Africa,Spain
100,Shanghai,Chennai,Container,50,Maritime Eagle,9300017,13.8,31.2304,121.4737,Shanghai,Chennai,China,India
101,Singapore,New York,Bulk Cargo,50,Maritime Eagle,9300018,16.3,1.3521,103.8198,Singapore,New York,Singapore,USA
102,Busan,Sydney,Bulk Cargo,40,Pacific Pearl,9300017,21.8,35.1796,129.0756,Busan,Sydney,South Korea,Australia
103,Mumbai,Antwerp,Bulk Cargo,5,Ocean Star,9300014,21.7,19.076,72.8777,Mumbai,Antwerp,India,Belgium
104,Hamburg,Mumbai,Container,20,Ocean Star,9300015,21.8,53.5511,9.9937,Hamburg,Mumbai,Germany,India
105,Shanghai,Dubai,Liquid Cargo,10,Global Trader,9300019,13.6,31.2304,121.4737,Shanghai,Dubai,China,UAE
106,Rotterdam,Jebel Ali,Liquid Cargo,15,Pacific Pearl,9300021,22.0,51.9244,4.4777,Rotterdam,Jebel Ali,Netherlands,UAE
107,Durban,Chennai,Liquid Cargo,10,Blue Horizon,9300020,24.5,-29.8587,31.0218,Durban,Chennai,South Africa,India
108,Shanghai,Busan,Refrigerated Cargo,40,Golden Wave,9300028,20.8,31.2304,121.4737,Shanghai,Busan,China,South Korea
109,Rotterdam,Mumbai,General Cargo,20,Golden Wave,9300029,21.0,51.9244,4.4777,Rotterdam,Mumbai,Netherlands,India
110,New York,Chennai,Liquid Cargo,30,Golden Wave,9300020,22.2,40.7128,-74.006,New York,Chennai,USA,India
111,Sydney,Hong Kong,General Cargo,30,Sea Voyager,9300013,18.6,-33.8688,151.2093,Sydney,Hong Kong,Australia,Hong Kong
112,Sydney,Antwerp,Refrigerated Cargo,30,Sea Voyager,9300014,17.6,-33.8688,151.2093,Sydney,Antwerp,Australia,Belgium
113,Kolkata,Colombo,Liquid Cargo,25,Blue Horizon,9300016,21.5,22.5726,88.3639,Kolkata,Colombo,India,Sri Lanka
114,Valencia,Jebel Ali,Bulk Cargo,100,Cargo Express,9300022,17.7,39.4699,-0.3763,Valencia,Jebel Ali,Spain,UAE
115,Busan,Hamburg,Container,50,Sea Voyager,9300017,15.6,35.1796,129.0756,Busan,Hamburg,South Korea,Germany
116,Colombo,Durban,General Cargo,30,Golden Wave,9300026,20.7,6.9271,79.8612,Colombo,Durban,Sri Lanka,South Africa
117,Jebel Ali,Busan,Bulk Cargo,30,Blue Horizon,9300020,18.3,25.0657,55.1713,Jebel Ali,Busan,UAE,South Korea
118,Busan,Los Angeles,Liquid Cargo,25,Golden Wave,9300028,21.1,35.1796,129.0756,Busan,Los Angeles,South Korea,USA
119,Shanghai,Valencia,Refrigerated Cargo,40,Global Trader,9300023,13.1,31.2304,121.4737,Shanghai,Valencia,China,Spain
120,Valencia,Hamburg,Refrigerated Cargo,50,Cargo Express,9300018,20.4,39.4699,-0.3763,Valencia,Hamburg,Spain,Germany
121,Shanghai,Chennai,Bulk Cargo,20,Pacific Pearl,9300016,14.9,31.2304,121.4737,Shanghai,Chennai,China,India
122,Santos,Hong Kong,Refrigerated Cargo,30,Cargo Express,9300020,19.2,-23.9608,-46.3336,Santos,Hong Kong,Brazil,Hong Kong
123,Valencia,Busan,Bulk Cargo,25,Atlantic Spirit,9300019,21.1,39.4699,-0.3763,Valencia,Busan,Spain,South Korea
124,Los Angeles,Hamburg,General Cargo,30,Sea Voyager,9300016,21.4,33.7405,-118.2755,Los Angeles,Hamburg,USA,Germany
125,Valencia,Dubai,Bulk Cargo,50,Global Trader,9300019,14.8,39.4699,-0.3763,Valencia,Dubai,Spain,UAE
126,Santos,Antwerp,Container,10,Golden Wave,9300026,15.7,-23.9608,-46.3336,Santos,Antwerp,Brazil,Belgium
127,New York,Hamburg,Liquid Cargo,5,Atlantic Spirit,9300023,14.3,40.7128,-74.006,New York,Hamburg,USA,Germany
128,Kolkata,New York,Bulk Cargo,75,Ocean Star,9300019,24.7,22.5726,88.3639,Kolkata,New York,India,USA
129,Kolkata,Antwerp,Bulk Cargo,100,Sea Voyager,9300021,23.3,22.5726,88.3639,Kolkata,Antwerp,India,Belgium
130,Jebel Ali,Antwerp,Bulk Cargo,5,Cargo Express,9300018,16.4,25.0657,55.1713,Jebel Ali,Antwerp,UAE,Belgium
131,Jebel Ali,Chennai,Liquid Cargo,10,Sea Voyager,9300013,17.2,25.0657,55.1713,Jebel Ali,Chennai,UAE,India
132,Singapore,Dubai,General Cargo,25,Blue Horizon,9300015,22.5,1.3521,103.8198,Singapore,Dubai,Singapore,UAE
133,Hamburg,Chennai,Liquid Cargo,100,Neptune Star,9300022,21.9,53.5511,9.9937,Hamburg,Chennai,Germany,India
134,Durban,Hamburg,Bulk Cargo,50,Neptune Star,9300023,16.9,-29.8587,31.0218,Durban,Hamburg,South Africa,Germany
135,Santos,Sydney,Liquid Cargo,5,Pacific Pearl,9300020,19.4,-23.9608,-46.3336,Santos,Sydney,Brazil,Australia
136,Chennai,Hamburg,Container,10,Global Trader,9300020,15.4,13.0827,80.2707,Chennai,Hamburg,India,Germany
137,Hamburg,Dubai,Refrigerated Cargo,5,Neptune Star,9300026,13.0,53.5511,9.9937,Hamburg,Dubai,Germany,UAE
138,Colombo,Antwerp,Bulk Cargo,25,Pacific Pearl,9300023,12.4,6.9271,79.8612,Colombo,Antwerp,Sri Lanka,Belgium
139,Colombo,Mumbai,Container,100,Global Trader,9300023,24.0,6.9271,79.8612,Colombo,Mumbai,Sri Lanka,India
140,Sydney,Chennai,Bulk Cargo,15,Neptune Star,9300019,14.9,-33.8688,151.2093,Sydney,Chennai,Australia,India
141,Kolkata,Mumbai,Liquid Cargo,25,Ocean Star,9300012,14.2,22.5726,88.3639,Kolkata,Mumbai,India,India
142,Santos,New York,Refrigerated Cargo,25,Cargo Express,9300020,13.6,-23.9608,-46.3336,Santos,New York,Brazil,USA
143,Los Angeles,Valencia,Liquid Cargo,10,Neptune Star,9300022,18.4,33.7405,-118.2755,Los Angeles,Valencia,USA,Spain
144,Singapore,Colombo,General Cargo,5,Atlantic Spirit,9300020,19.8,1.3521,103.8198,Singapore,Colombo,Singapore,Sri Lanka
145,Hamburg,Durban,Liquid Cargo,25,Golden Wave,9300025,24.4,53.5511,9.9937,Hamburg,Durban,Germany,South Africa
146,Singapore,Rotterdam,Bulk Cargo,50,Cargo Express,9300024,18.7,1.3521,103.8198,Singapore,Rotterdam,Singapore,Netherlands
147,Dubai,Durban,General Cargo,50,Maritime Eagle,9300024,20.3,25.2048,55.2708,Dubai,Durban,UAE,South Africa
148,Jebel Ali,Hong Kong,Container,10,Maritime Eagle,9300025,16.3,25.0657,55.1713,Jebel Ali,Hong Kong,UAE,Hong Kong
149,Busan,Colombo,Liquid Cargo,40,Cargo Express,9300027,15.7,35.1796,129.0756,Busan,Colombo,South Korea,Sri Lanka
150,Singapore,Jebel Ali,General Cargo,30,Sea Voyager,9300012,16.1,1.3521,103.8198,Singapore,Jebel Ali,Singapore,UAE
151,Tokyo,Valencia,Refrigerated Cargo,75,Ocean Star,9300012,20.5,35.6762,139.6503,Tokyo,Valencia,Japan,Spain
152,Sydney,Singapore,Refrigerated Cargo,100,Global Trader,9300016,18.7,-33.8688,151.2093,Sydney,Singapore,Australia,Singapore
153,Colombo,Singapore,Bulk Cargo,15,Global Trader,9300017,15.5,6.9271,79.8612,Colombo,Singapore,Sri Lanka,Singapore
154,Colombo,Antwerp,Container,100,Sea Voyager,9300016,12.4,6.9271,79.8612,Colombo,Antwerp,Sri Lanka,Belgium
155,Dubai,Busan,General Cargo,40,Neptune Star,9300024,12.2,25.2048,55.2708,Dubai,Busan,UAE,South Korea
156,Hamburg,Chennai,Refrigerated Cargo,15,Cargo Express,9300024,24.3,53.5511,9.9937,Hamburg,Chennai,Germany,India
157,New York,Valencia,Refrigerated Cargo,50,Pacific Pearl,9300022,17.4,40.7128,-74.006,New York,Valencia,USA,Spain
158,Hamburg,Jebel Ali,Liquid Cargo,20,Neptune Star,9300027,13.9,53.5511,9.9937,Hamburg,Jebel Ali,Germany,UAE
159,Antwerp,Kolkata,Bulk Cargo,40,Sea Voyager,9300021,15.6,51.2194,4.4025,Antwerp,Kolkata,Belgium,India
160,Antwerp,Los Angeles,Liquid Cargo,25,Ocean Star,9300011,15.7,51.2194,4.4025,Antwerp,Los Angeles,Belgium,USA
161,Santos,Jebel Ali,Bulk Cargo,50,Blue Horizon,9300014,17.8,-23.9608,-46.3336,Santos,Jebel Ali,Brazil,UAE
162,Busan,Santos,Container,30,Neptune Star,9300021,16.9,35.1796,129.0756,Busan,Santos,South Korea,Brazil
163,Hamburg,Durban,General Cargo,40,Maritime Eagle,9300020,15.0,53.5511,9.9937,Hamburg,Durban,Germany,South Africa
164,Busan,Antwerp,Refrigerated Cargo,15,Maritime Eagle,9300021,17.0,35.1796,129.0756,Busan,Antwerp,South Korea,Belgium
165,Singapore,Dubai,General Cargo,30,Neptune Star,9300024,24.5,1.3521,103.8198,Singapore,Dubai,Singapore,UAE
166,Colombo,Chennai,Container,5,Neptune Star,9300025,23.8,6.9271,79.8612,Colombo,Chennai,Sri Lanka,India
167,Sydney,Kolkata,Bulk Cargo,25,Sea Voyager,9300019,18.1,-33.8688,151.2093,Sydney,Kolkata,Australia,India
168,Durban,Tokyo,Refrigerated Cargo,75,Sea Voyager,9300020,23.1,-29.8587,31.0218,Durban,Tokyo,South Africa,Japan
169,Busan,Antwerp,Container,10,Neptune Star,9300028,12.5,35.1796,129.0756,Busan,Antwerp,South Korea,Belgium
170,New York,Hamburg,General Cargo,10,Sea Voyager,9300012,17.6,40.7128,-74.006,New York,Hamburg,USA,Germany
171,Colombo,Dubai,Bulk Cargo,5,Pacific Pearl,9300016,23.7,6.9271,79.8612,Colombo,Dubai,Sri Lanka,UAE
172,Singapore,Busan,Container,15,Atlantic Spirit,9300018,16.9,1.3521,103.8198,Singapore,Busan,Singapore,South Korea
173,Antwerp,Sydney,Container,15,Golden Wave,9300023,20.9,51.2194,4.4025,Antwerp,Sydney,Belgium,Australia
174,Dubai,Mumbai,Container,100,Golden Wave,9300024,23.3,25.2048,55.2708,Dubai,Mumbai,UAE,India
175,Jebel Ali,Durban,Refrigerated Cargo,25,Blue Horizon,9300018,15.0,25.0657,55.1713,Jebel Ali,Durban,UAE,South Africa
176,Los Angeles,Shanghai,Container,75,Cargo Express,9300024,23.7,33.7405,-118.2755,Los Angeles,Shanghai,USA,China
177,Mumbai,Jebel Ali,Refrigerated Cargo,25,Atlantic Spirit,9300023,24.8,19.076,72.8777,Mumbai,Jebel Ali,India,UAE
178,Los Angeles,Jebel Ali,Refrigerated Cargo,40,Pacific Pearl,9300023,14.6,33.7405,-118.2755,Los Angeles,Jebel Ali,USA,UAE
179,Chennai,Los Angeles,Bulk Cargo,100,Maritime Eagle,9300026,19.4,13.0827,80.2707,Chennai,Los Angeles,India,USA
180,New York,Shanghai,General Cargo,100,Maritime Eagle,9300017,15.6,40.7128,-74.006,New York,Shanghai,USA,China
181,Durban,Jebel Ali,Liquid Cargo,20,Pacific Pearl,9300016,22.1,-29.8587,31.0218,Durban,Jebel Ali,South Africa,UAE
182,Hong Kong,Hamburg,General Cargo,15,Global Trader,9300016,20.1,22.3193,114.1694,Hong Kong,Hamburg,Hong Kong,Germany
183,Singapore,Busan,Container,30,Cargo Express,9300021,12.4,1.3521,103.8198,Singapore,Busan,Singapore,South Korea
184,Mumbai,Busan,Container,15,Atlantic Spirit,9300020,21.7,19.076,72.8777,Mumbai,Busan,India,South Korea
185,Kolkata,Santos,Container,25,Atlantic Spirit,9300021,18.9,22.5726,88.3639,Kolkata,Santos,India,Brazil
186,Los Angeles,Antwerp,General Cargo,30,Pacific Pearl,9300021,21.7,33.7405,-118.2755,Los Angeles,Antwerp,USA,Belgium
187,Colombo,Mumbai,Refrigerated Cargo,20,Blue Horizon,9300020,21.8,6.9271,79.8612,Colombo,Mumbai,Sri Lanka,India
188,Valencia,Hong Kong,Bulk Cargo,5,Sea Voyager,9300020,22.3,39.4699,-0.3763,Valencia,Hong Kong,Spain,Hong Kong
189,Valencia,Chennai,Liquid Cargo,25,Cargo Express,9300027,16.8,39.4699,-0.3763,Valencia,Chennai,Spain,India
190,Tokyo,Hong Kong,General Cargo,50,Sea Voyager,9300012,20.8,35.6762,139.6503,Tokyo,Hong Kong,Japan,Hong Kong
191,Durban,Valencia,General Cargo,20,Atlantic Spirit,9300017,23.9,-29.8587,31.0218,Durban,Valencia,South Africa,Spain
192,Colombo,New York,General Cargo,5,Maritime Eagle,9300019,13.5,6.9271,79.8612,Colombo,New York,Sri Lanka,USA
193,New York,Antwerp,Container,75,Sea Voyager,9300015,13.3,40.7128,-74.006,New York,Antwerp,USA,Belgium
194,Tokyo,Jebel Ali,Refrigerated Cargo,75,Atlantic Spirit,9300020,20.7,35.6762,139.6503,Tokyo,Jebel Ali,Japan,UAE
195,Santos,Kolkata,Liquid Cargo,50,Maritime Eagle,9300022,20.5,-23.9608,-46.3336,Santos,Kolkata,Brazil,India
196,Sydney,Los Angeles,Refrigerated Cargo,20,Ocean Star,9300017,21.0,-33.8688,151.2093,Sydney,Los Angeles,Australia,USA
197,Colombo,Hamburg,Liquid Cargo,30,Atlantic Spirit,9300023,13.3,6.9271,79.8612,Colombo,Hamburg,Sri Lanka,Germany
198,Hong Kong,Singapore,Refrigerated Cargo,10,Maritime Eagle,9300025,15.6,22.3193,114.1694,Hong Kong,Singapore,Hong Kong,Singapore
199,Mumbai,Hamburg,Bulk Cargo,5,Golden Wave,9300029,24.6,19.076,72.8777,Mumbai,Hamburg,India,Germany
200,Hamburg,Kolkata,Container,75,Golden Wave,9300020,14.7,53.5511,9.9937,Hamburg,Kolkata,Germany,India
201,Santos,Rotterdam,Liquid Cargo,15,Global Trader,9300015,16.3,-23.9608,-46.3336,Santos,Rotterdam,Brazil,Netherlands
202,Shanghai,New York,Bulk Cargo,75,Blue Horizon,9300015,24.8,31.2304,121.4737,Shanghai,New York,China,USA
203,Dubai,Chennai,Container,30,Ocean Star,9300014,13.7,25.2048,55.2708,Dubai,Chennai,UAE,India
204,Santos,Busan,Container,5,Ocean Star,9300015,14.3,-23.9608,-46.3336,Santos,Busan,Brazil,South Korea
