pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P089,89,85,60,1.10,40,15
P090,90,90,65,1.05,45,15
P091,91,100,75,1.00,50,15
P092,92,110,80,0.95,60,15
P093,93,105,70,1.05,55,15
P094,94,100,80,1.00,50,15
P095,95,95,70,1.00,45,15
P096,96,105,75,0.95,55,15
P097,97,90,65,1.05,45,15
P098,98,100,70,0.95,50,15
P099,99,85,60,1.10,40,15
P100,100,90,65,1.05,45,15
P101,101,100,75,1.00,50,15
P102,102,110,80,0.95,60,15
P103,103,105,70,1.05,55,15
P104,104,100,80,1.00,50,15
P105,105,95,70,1.00,45,15
P106,106,105,75,0.95,55,15
P107,107,90,65,1.05,45,15
P108,108,100,70,0.95,50,15
P109,109,85,60,1.10,40,15
P110,110,90,65,1.05,45,15
P111,111,100,75,1.00,50,15
P112,112,110,80,0.95,60,15
P113,113,105,70,1.05,55,15
P114,114,100,80,1.00,50,15
P115,115,95,70,1.00,45,15
P116,116,105,75,0.95,55,15
P117,117,90,65,1.05,45,15
P118,118,100,70,0.95,50,15
P119,119,85,60,1.10,40,15
P120,120,90,65,1.05,45,15
P121,121,100,75,1.00,50,15
P122,122,110,80,0.95,60,15
P123,123,105,70,1.05,55,15
P124,124,100,80,1.00,50,15
P125,125,95,70,1.00,45,15
P126,126,105,75,0.95,55,15
P127,127,90,65,1.05,45,15
P128,128,100,70,0.95,50,15
P129,129,85,60,1.10,40,15
P130,130,90,65,1.05,45,15
P131,131,100,75,1.00,50,15
P132,132,110,80,0.95,60,15
P133,133,105,70,1.05,55,15
P134,134,100,80,1.00,50,15
P135,135,95,70,1.00,45,15
P136,136,105,75,0.95,55,15
P137,137,90,65,1.05,45,15
P138,138,100,70,0.95,50,15
P139,139,85,60,1.10,40,15
P140,140,90,65,1.05,45,15
P141,141,100,75,1.00,50,15
P142,142,110,80,0.95,60,15
P143,143,105,70,1.05,55,15
P144,144,100,80,1.00,50,15
P145,145,95,70,1.00,45,15
P146,146,105,75,0.95,55,15
P147,147,90,65,1.05,45,15
P148,148,100,70,0.95,50,15
P149,149,85,60,1.10,40,15
P150,150,90,65,1.05,45,15
P151,151,100,75,1.00,50,15
P152,152,110,80,0.95,60,15
P153,153,105,70,1.05,55,15
P154,154,100,80,1.00,50,15
P155,155,95,70,1.00,45,15
P156,156,105,75,0.95,55,15
P157,157,90,65,1.05,45,15
P158,158,100,70,0.95,50,15
P159,159,85,60,1.10,40,15
P160,160,90,65,1.05,45,15
P161,161,100,75,1.00,50,15
P162,162,110,80,0.95,60,15
P163,163,105,70,1.05,55,15
P164,164,100,80,1.00,50,15
P165,165,95,70,1.00,45,15
P166,166,105,75,0.95,55,15
P167,167,90,65,1.05,45,15
P168,168,100,70,0.95,50,15
P169,169,85,60,1.10,40,15
P170,170,90,65,1.05,45,15
P171,171,100,75,1.00,50,15
P172,172,110,80,0.95,60,15
P173,173,105,70,1.05,55,15
P174,174,100,80,1.00,50,15
P175,175,95,70,1.00,45,15
P176,176,105,75,0.95,55,15
P177,177,90,65,1.05,45,15
P178,178,100,70,0.95,50,15
P179,179,85,60,1.10,40,15
P180,180,90,65,1.05,45,15
P181,181,100,75,1.00,50,15
P182,182,110,80,0.95,60,15
P183,183,105,70,1.05,55,15
P184,184,100,80,1.00,50,15
P185,185,95,70,1.00,45,15
P186,186,105,75,0.95,55,15
P187,187,90,65,1.05,45,15
P188,188,100,70,0.95,50,15
P189,189,85,60,1.10,40,15
P190,190,90,65,1.05,45,15
P191,191,100,75,1.00,50,15
P192,192,110,80,0.95,60,15
P193,193,105,70,1.05,55,15
P194,194,100,80,1.00,50,15
P195,195,95,70,1.00,45,15
P196,196,105,75,0.95,55,15
P197,197,90,65,1.05,45,15
P198,198,100,70,0.95,50,15
P199,199,85,60,1.10,40,15
P200,200,90,65,1.05,45,15
P201,201,100,75,1.00,50,15
P202,202,110,80,0.95,60,15
P203,203,105,70,1.05,55,15
P204,204,100,80,1.00,50,15
P205,205,95,70,1.00,45,15
P206,206,105,75,0.95,55,15
P207,207,90,65,1.05,45,15
P208,208,100,70,0.95,50,15
P209,209,85,60,1.10,40,15
P210,210,90,65,1.05,45,15
P211,211,100,75,1.00,50,15
P212,212,110,80,0.95,60,15
P213,213,105,70,1.05,55,15
P214,214,100,80,1.00,50,15
P215,215,95,70,1.00,45,15
P216,216,105,75,0.95,55,15
P217,217,90,65,1.05,45,15
P218,218,100,70,0.95,50,15
P219,219,85,60,1.10,40,15
P220,220,90,65,1.05,45,15
P221,221,100,75,1.00,50,15
P222,222,110,80,0.95,60,15
P223,223,105,70,1.05,55,15
P224,224,100,80,1.00,50,15
P225,225,95,70,1.00,45,15
P226,226,105,75,0.95,55,15
P227,227,90,65,1.05,45,15
P228,228,100,70,0.95,50,15
P229,229,85,60,1.10,40,15
P230,230,90,65,1.05,45,15
P231,231,100,75,1.00,50,15
P232,232,110,80,0.95,60,15
P233,233,105,70,1.05,55,15
P234,234,100,80,1.00,50,15
P235,235,95,70,1.00,45,15
P236,236,105,75,0.95,55,15
P237,237,90,65,1.05,45,15
P238,238,100,70,0.95,50,15
P239,239,85,60,1.10,40,15
P240,240,90,65,1.05,45,15
P241,241,100,75,1.00,50,15
P242,242,110,80,0.95,60,15
P243,243,105,70,1.05,55,15
P244,244,100,80,1.00,50,15
P245,245,95,70,1.00,45,15
P246,246,105,75,0.95,55,15
P247,247,90,65,1.05,45,15
P248,248,100,70,0.95,50,15
P249,249,85,60,1.10,40,15
P250,250,90,65,1.05,45,15
P251,251,100,75,1.00,50,15
P252,252,110,80,0.95,60,15
P253,253,105,70,1.05,55,15
P254,254,100,80,1.00,50,15
P255,255,95,70,1.00,45,15
P256,256,105,75,0.95,55,15
P257,257,90,65,1.05,45,15
P258,258,100,70,0.95,50,15
P259,259,85,60,1.10,40,15
P260,260,90,65,1.05,45,15
P261,261,100,75,1.00,50,15
P262,262,110,80,0.95,60,15
P263,263,105,70,1.05,55,15
P264,264,100,80,1.00,50,15
P265,265,95,70,1.00,45,15
P266,266,105,75,0.95,55,15
P267,267,90,65,1.05,45,15
P268,268,100,70,0.95,50,15
P269,269,85,60,1.10,40,15
P270,270,90,65,1.05,45,15
P271,271,100,75,1.00,50,15
P272,272,110,80,0.95,60,15
P273,273,105,70,1.05,55,15
P274,274,100,80,1.00,50,15
P275,275,95,70,1.00,45,15
P276,276,105,75,0.95,55,15
P277,277,90,65,1.05,45,15
P278,278,100,70,0.95,50,15
P279,279,85,60,1.10,40,15
P280,280,90,65,1.05,45,15
P281,281,100,75,1.00,50,15
P282,282,110,80,0.95,60,15
P283,283,105,70,1.05,55,15
P284,284,100,80,1.00,50,15
P285,285,95,70,1.00,45,15
P286,286,105,75,0.95,55,15
P287,287,90,65,1.05,45,15
P288,288,100,70,0.95,50,15
P289,289,85,60,1.10,40,15
P290,290,90,65,1.05,45,15
P291,291,100,75,1.00,50,15
P292,292,110,80,0.95,60,15
P293,293,105,70,1.05,55,15
P294,294,100,80,1.00,50,15
P295,295,95,70,1.00,45,15
P296,296,105,75,0.95,55,15
P297,297,90,65,1.05,45,15
P298,298,100,70,0.95,50,15
P299,299,85,60,1.10,40,15
P300,300,90,65,1.05,45,15
P301,301,100,75,1.00,50,15
P302,302,110,80,0.95,60,15
P303,303,105,70,1.05,55,15
P304,304,100,80,1.00,50,15
P305,305,95,70,1.00,45,15
P306,306,105,75,0.95,55,15
P307,307,90,65,1.05,45,15
P308,308,100,70,0.95,50,15
P309,309,85,60,1.10,40,15
P310,310,90,65,1.05,45,15
P311,311,100,75,1.00,50,15
P312,312,110,80,0.95,60,15
P313,313,105,70,1.05,55,15
P314,314,100,80,1.00,50,15
P315,315,95,70,1.00,45,15
P316,316,105,75,0.95,55,15
P317,317,90,65,1.05,45,15
P318,318,100,70,0.95,50,15
P319,319,85,60,1.10,40,15
P320,320,90,65,1.05,45,15
P321,321,100,75,1.00,50,15
P322,322,110,80,0.95,60,15
P323,323,105,70,1.05,55,15
P324,324,100,80,1.00,50,15
P325,325,95,70,1.00,45,15
P326,326,105,75,0.95,55,15
P327,327,90,65,1.05,45,15
P328,328,100,70,0.95,50,15
P329,329,85,60,1.10,40,15
P330,330,90,65,1.05,45,15
P331,331,100,75,1.00,50,15
P332,332,110,80,0.95,60,15
P333,333,105,70,1.05,55,15
P334,334,100,80,1.00,50,15
P335,335,95,70,1.00,45,15
P336,336,105,75,0.95,55,15
P337,337,90,65,1.05,45,15
P338,338,100,70,0.95,50,15
P339,339,85,60,1.10,40,15
P340,340,90,65,1.05,45,15
P341,341,100,75,1.00,50,15
P342,342,110,80,0.95,60,15
P343,343,105,70,1.05,55,15
P344,344,100,80,1.00,50,15
P345,345,95,70,1.00,45,15
P346,346,105,75,0.95,55,15
P347,347,90,65,1.05,45,15
P348,348,100,70,0.95,50,15
P349,349,85,60,1.10,40,15
P350,350,90,65,1.05,45,15
P351,351,100,75,1.00,50,15
P352,352,110,80,0.95,60,15
P353,353,105,70,1.05,55,15
P354,354,100,80,1.00,50,15
P355,355,95,70,1.00,45,15
P356,356,105,75,0.95,55,15
P357,357,90,65,1.05,45,15
P358,358,100,70,0.95,50,15
P359,359,85,60,1.10,40,15
P360,360,90,65,1.05,45,15
P361,361,100,75,1.00,50,15
P362,362,110,80,0.95,60,15
P363,363,105,70,1.05,55,15
P364,364,100,80,1.00,50,15
P365,365,95,70,1.00,45,15
P366,366,105,75,0.95,55,15
P367,367,90,65,1.05,45,15
P368,368,100,70,0.95,50,15
P369,369,85,60,1.10,40,15
P370,370,90,65,1.05,45,15
P371,371,100,75,1.00,50,15
P372,372,110,80,0.95,60,15
P373,373,105,70,1.05,55,15
P374,374,100,80,1.00,50,15
P375,375,95,70,1.00,45,15
P376,376,105,75,0.95,55,15
P377,377,90,65,1.05,45,15
P378,378,100,70,0.95,50,15
P379,379,85,60,1.10,40,15
P380,380,90,65,1.05,45,15
P381,381,100,75,1.00,50,15
P382,382,110,80,0.95,60,15
P383,383,105,70,1.05,55,15
P384,384,100,80,1.00,50,15
P385,385,95,70,1.00,45,15
P386,386,105,75,0.95,55,15
P387,387,90,65,1.05,45,15
P388,388,100,70,0.95,50,15
P389,389,85,60,1.10,40,15
P390,390,90,65,1.05,45,15
P391,391,100,75,1.00,50,15
P392,392,110,80,0.95,60,15
P393,393,105,70,1.05,55,15
P394,394,100,80,1.00,50,15
P395,395,95,70,1.00,45,15
P396,396,105,75,0.95,55,15
P397,397,90,65,1.05,45,15
P398,398,100,70,0.95,50,15
P399,399,85,60,1.10,40,15
P400,400,90,65,1.05,45,15
P401,401,100,75,1.00,50,15
P402,402,110,80,0.95,60,15
P403,403,105,70,1.05,55,15
P404,404,100,80,1.00,50,15
P405,405,95,70,1.00,45,15
P406,406,105,75,0.95,55,15
P407,407,90,65,1.05,45,15
P408,408,100,70,0.95,50,15
P409,409,85,60,1.10,40,15
P410,410,90,65,1.05,45,15
P411,411,100,75,1.00,50,15
P412,412,110,80,0.95,60,15
P413,413,105,70,1.05,55,15
P414,414,100,80,1.00,50,15
P415,415,95,70,1.00,45,15
P416,416,105,75,0.95,55,15
P417,417,90,65,1.05,45,15
P418,418,100,70,0.95,50,15
P419,419,85,60,1.10,40,15
P420,420,90,65,1.05,45,15
P421,421,100,75,1.00,50,15
P422,422,110,80,0.95,60,15
P423,423,105,70,1.05,55,15
P424,424,100,80,1.00,50,15
P425,425,95,70,1.00,45,15
P426,426,105,75,0.95,55,15
P427,427,90,65,1.05,45,15
P428,428,100,70,0.95,50,15
P429,429,85,60,1.10,40,15
P430,430,90,65,1.05,45,15
P431,431,100,75,1.00,50,15
P432,432,110,80,0.95,60,15
P433,433,105,70,1.05,55,15
P434,434,100,80,1.00,50,15
P435,435,95,70,1.00,45,15
P436,436,105,75,0.95,55,15
P437,437,90,65,1.05,45,15
P438,438,100,70,0.95,50,15
P439,439,85,60,1.10,40,15
P440,440,90,65,1.05,45,15
P441,441,100,75,1.00,50,15
P442,442,110,80,0.95,60,15
P443,443,105,70,1.05,55,15
P444,444,100,80,1.00,50,15
P445,445,95,70,1.00,45,15
P446,446,105,75,0.95,55,15
P447,447,90,65,1.05,45,15
P448,448,100,70,0.95,50,15
P449,449,85,60,1.10,40,15
P450,450,90,65,1.05,45,15
P451,451,100,75,1.00,50,15
P452,452,110,80,0.95,60,15
P453,453,105,70,1.05,55,15
P454,454,100,80,1.00,50,15
P455,455,95,70,1.00,45,15
P456,456,105,75,0.95,55,15
P457,457,90,65,1.05,45,15
P458,458,100,70,0.95,50,15
P459,459,85,60,1.10,40,15
P460,460,90,65,1.05,45,15
P461,461,100,75,1.00,50,15
P462,462,110,80,0.95,60,15
P463,463,105,70,1.05,55,15
P464,464,100,80,1.00,50,15
P465,465,95,70,1.00,45,15
P466,466,105,75,0.95,55,15
P467,467,90,65,1.05,45,15
P468,468,100,70,0.95,50,15
P469,469,85,60,1.10,40,15
P470,470,90,65,1.05,45,15
P471,471,100,75,1.00,50,15
P472,472,110,80,0.95,60,15
P473,473,105,70,1.05,55,15
P474,474,100,80,1.00,50,15
P475,475,95,70,1.00,45,15
P476,476,105,75,0.95,55,15
P477,477,90,65,1.05,45,15
P478,478,100,70,0.95,50,15
P479,479,85,60,1.10,40,15
P480,480,90,65,1.05,45,15
P481,481,100,75,1.00,50,15
P482,482,110,80,0.95,60,15
P483,483,105,70,1.05,55,15
P484,484,100,80,1.00,50,15
P485,485,95,70,1.00,45,15
P486,486,105,75,0.95,55,15
P487,487,90,65,1.05,45,15
P488,488,100,70,0.95,50,15
P489,489,85,60,1.10,40,15
P490,490,90,65,1.05,45,15
P491,491,100,75,1.00,50,15
P492,492,110,80,0.95,60,15
P493,493,105,70,1.05,55,15
P494,494,100,80,1.00,50,15
P495,495,95,70,1.00,45,15
P496,496,105,75,0.95,55,15
P497,497,90,65,1.05,45,15
P498,498,100,70,0.95,50,15
P499,499,85,60,1.10,40,15
P500,500,90,65,1.05,45,15
P501,501,100,75,1.00,50,15
P502,502,110,80,0.95,60,15
P503,503,105,70,1.05,55,15
P504,504,100,80,1.00,50,15
P505,505,95,70,1.00,45,15
P506,506,105,75,0.95,55,15
P507,507,90,65,1.05,45,15
P508,508,100,70,0.95,50,15
P509,509,85,60,1.10,40,15
P510,510,90,65,1.05,45,15
P511,511,100,75,1.00,50,15
P512,512,110,80,0.95,60,15
P513,513,105,70,1.05,55,15
P514,514,100,80,1.00,50,15
P515,515,95,70,1.00,45,15
P516,516,105,75,0.95,55,15
P517,517,90,65,1.05,45,15
P518,518,100,70,0.95,50,15
P519,519,85,60,1.10,40,15
P520,520,90,65,1.05,45,15
P521,521,100,75,1.00,50,15
P522,522,110,80,0.95,60,15
P523,523,105,70,1.05,55,15
P524,524,100,80,1.00,50,15
P525,525,95,70,1.00,45,15
P526,526,105,75,0.95,55,15
P527,527,90,65,1.05,45,15
P528,528,100,70,0.95,50,15
P529,529,85,60,1.10,40,15
P530,530,90,65,1.05,45,15
P531,531,100,75,1.00,50,15
P532,532,110,80,0.95,60,15
P533,533,105,70,1.05,55,15
P534,534,100,80,1.00,50,15
P535,535,95,70,1.00,45,15
P536,536,105,75,0.95,55,15
P537,537,90,65,1.05,45,15
P538,538,100,70,0.95,50,15
P539,539,85,60,1.10,40,15
P540,540,90,65,1.05,45,15
P541,541,100,75,1.00,50,15
P542,542,110,80,0.95,60,15
P543,543,105,70,1.05,55,15
P544,544,100,80,1.00,50,15
P545,545,95,70,1.00,45,15
P546,546,105,75,0.95,55,15
P547,547,90,65,1.05,45,15
P548,548,100,70,0.95,50,15
P549,549,85,60,1.10,40,15
P550,550,90,65,1.05,45,15
P551,551,100,75,1.00,50,15
P552,552,110,80,0.95,60,15
P553,553,105,70,1.05,55,15
P554,554,100,80,1.00,50,15
P555,555,95,70,1.00,45,15
P556,556,105,75,0.95,55,15
P557,557,90,65,1.05,45,15
P558,558,100,70,0.95,50,15
P559,559,85,60,1.10,40,15
P560,560,90,65,1.05,45,15
P561,561,100,75,1.00,50,15
P562,562,110,80,0.95,60,15
P563,563,105,70,1.05,55,15
P564,564,100,80,1.00,50,15
P565,565,95,70,1.00,45,15
P566,566,105,75,0.95,55,15
P567,567,90,65,1.05,45,15
P568,568,100,70,0.95,50,15
P569,569,85,60,1.10,40,15
P570,570,90,65,1.05,45,15
P571,571,100,75,1.00,50,15
P572,572,110,80,0.95,60,15
P573,573,105,70,1.05,55,15
P574,574,100,80,1.00,50,15
P575,575,95,70,1.00,45,15
P576,576,105,75,0.95,55,15
P577,577,90,65,1.05,45,15
P578,578,100,70,0.95,50,15
P579,579,85,60,1.10,40,15
P580,580,90,65,1.05,45,15
P581,581,100,75,1.00,50,15
P582,582,110,80,0.95,60,15
P583,583,105,70,1.05,55,15
P584,584,100,80,1.00,50,15
P585,585,95,70,1.00,45,15
P586,586,105,75,0.95,55,15
P587,587,90,65,1.05,45,15
P588,588,100,70,0.95,50,15
P589,589,85,60,1.10,40,15
P590,590,90,65,1.05,45,15
P591,591,100,75,1.00,50,15
P592,592,110,80,0.95,60,15
P593,593,105,70,1.05,55,15
P594,594,100,80,1.00,50,15
P595,595,95,70,1.00,45,15
P596,596,105,75,0.95,55,15
P597,597,90,65,1.05,45,15
P598,598,100,70,0.95,50,15
P599,599,85,60,1.10,40,15
P600,600,90,65,1.05,45,15
P601,601,100,75,1.00,50,15
P602,602,110,80,0.95,60,15
P603,603,105,70,1.05,55,15
P604,604,100,80,1.00,50,15
P605,605,95,70,1.00,45,15
P606,606,105,75,0.95,55,15
P607,607,90,65,1.05,45,15
P608,608,100,70,0.95,50,15
P609,609,85,60,1.10,40,15
P610,610,90,65,1.05,45,15
P611,611,100,75,1.00,50,15
P612,612,110,80,0.95,60,15
P613,613,105,70,1.05,55,15
P614,614,100,80,1.00,50,15
P615,615,95,70,1.00,45,15
P616,616,105,75,0.95,55,15
P617,617,90,65,1.05,45,15
P618,618,100,70,0.95,50,15
P619,619,85,60,1.10,40,15
P620,620,90,65,1.05,45,15
P621,621,100,75,1.00,50,15
P622,622,110,80,0.95,60,15
P623,623,105,70,1.05,55,15
P624,624,100,80,1.00,50,15
P625,625,95,70,1.00,45,15
P626,626,105,75,0.95,55,15
P627,627,90,65,1.05,45,15
P628,628,100,70,0.95,50,15
P629,629,85,60,1.10,40,15
P630,630,90,65,1.05,45,15
P631,631,100,75,1.00,50,15
P632,632,110,80,0.95,60,15
P633,633,105,70,1.05,55,15
P634,634,100,80,1.00,50,15
P635,635,95,70,1.00,45,15
P636,636,105,75,0.95,55,15
P637,637,90,65,1.05,45,15
P638,638,100,70,0.95,50,15
P639,639,85,60,1.10,40,15
P640,640,90,65,1.05,45,15
P641,641,100,75,1.00,50,15
P642,642,110,80,0.95,60,15
P643,643,105,70,1.05,55,15
P644,644,100,80,1.00,50,15
P645,645,95,70,1.00,45,15
P646,646,105,75,0.95,55,15
P647,647,90,65,1.05,45,15
P648,648,100,70,0.95,50,15
P649,649,85,60,1.10,40,15
P650,650,90,65,1.05,45,15
P651,651,100,75,1.00,50,15
P652,652,110,80,0.95,60,15
P653,653,105,70,1.05,55,15
P654,654,100,80,1.00,50,15
P655,655,95,70,1.00,45,15
P656,656,105,75,0.95,55,15
P657,657,90,65,1.05,45,15
P658,658,100,70,0.95,50,15
P659,659,85,60,1.10,40,15
P660,660,90,65,1.05,45,15
P661,661,100,75,1.00,50,15
P662,662,110,80,0.95,60,15
P663,663,105,70,1.05,55,15
P664,664,100,80,1.00,50,15
P665,665,95,70,1.00,45,15
P666,666,105,75,0.95,55,15
P667,667,90,65,1.05,45,15
P668,668,100,70,0.95,50,15
P669,669,85,60,1.10,40,15
P670,670,90,65,1.05,45,15
P671,671,100,75,1.00,50,15
P672,672,110,80,0.95,60,15
P673,673,105,70,1.05,55,15
P674,674,100,80,1.00,50,15
P675,675,95,70,1.00,45,15
P676,676,105,75,0.95,55,15
P677,677,90,65,1.05,45,15
P678,678,100,70,0.95,50,15
P679,679,85,60,1.10,40,15
P680,680,90,65,1.05,45,15
P681,681,100,75,1.00,50,15
P682,682,110,80,0.95,60,15
P683,683,105,70,1.05,55,15
P684,684,100,80,1.00,50,15
P685,685,95,70,1.00,45,15
P686,686,105,75,0.95,55,15
P687,687,90,65,1.05,45,15
P688,688,100,70,0.95,50,15
P689,689,85,60,1.10,40,15
P690,690,90,65,1.05,45,15
P691,691,100,75,1.00,50,15
P692,692,110,80,0.95,60,15
P693,693,105,70,1.05,55,15
P694,694,100,80,1.00,50,15
P695,695,95,70,1.00,45,15
P696,696,105,75,0.95,55,15
P697,697,90,65,1.05,45,15
P698,698,100,70,0.95,50,15
P699,699,85,60,1.10,40,15
P700,700,90,65,1.05,45,15
P701,701,100,75,1.00,50,15
P702,702,110,80,0.95,60,15
P703,703,105,70,1.05,55,15
P704,704,100,80,1.00,50,15
P705,705,95,70,1.00,45,15
P706,706,105,75,0.95,55,15
P707,707,90,65,1.05,45,15
P708,708,100,70,0.95,50,15
P709,709,85,60,1.10,40,15
P710,710,90,65,1.05,45,15
P711,711,100,75,1.00,50,15
P712,712,110,80,0.95,60,15
P713,713,105,70,1.05,55,15
P714,714,100,80,1.00,50,15
P715,715,95,70,1.00,45,15
P716,716,105,75,0.95,55,15
P717,717,90,65,1.05,45,15
P718,718,100,70,0.95,50,15
P719,719,85,60,1.10,40,15
P720,720,90,65,1.05,45,15
P721,721,100,75,1.00,50,15
P722,722,110,80,0.95,60,15
P723,723,105,70,1.05,55,15
P724,724,100,80,1.00,50,15
P725,725,95,70,1.00,45,15
P726,726,105,75,0.95,55,15
P727,727,90,65,1.05,45,15
P728,728,100,70,0.95,50,15
P729,729,85,60,1.10,40,15
P730,730,90,65,1.05,45,15
P731,731,100,75,1.00,50,15
P732,732,110,80,0.95,60,15
P733,733,105,70,1.05,55,15
P734,734,100,80,1.00,50,15
P735,735,95,70,1.00,45,15
P736,736,105,75,0.95,55,15
P737,737,90,65,1.05,45,15
P738,738,100,70,0.95,50,15
P739,739,85,60,1.10,40,15
P740,740,90,65,1.05,45,15
P741,741,100,75,1.00,50,15
P742,742,110,80,0.95,60,15
P743,743,105,70,1.05,55,15
P744,744,100,80,1.00,50,15
P745,745,95,70,1.00,45,15
P746,746,105,75,0.95,55,15
P747,747,90,65,1.05,45,15
P748,748,100,70,0.95,50,15
P749,749,85,60,1.10,40,15
P750,750,90,65,1.05,45,15
P751,751,100,75,1.00,50,15
P752,752,110,80,0.95,60,15
P753,753,105,70,1.05,55,15
P754,754,100,80,1.00,50,15
P755,755,95,70,1.00,45,15
P756,756,105,75,0.95,55,15
P757,757,90,65,1.05,45,15
P758,758,100,70,0.95,50,15
P759,759,85,60,1.10,40,15
P760,760,90,65,1.05,45,15
P761,761,100,75,1.00,50,15
P762,762,110,80,0.95,60,15
P763,763,105,70,1.05,55,15
P764,764,100,80,1.00,50,15
P765,765,95,70,1.00,45,15
P766,766,105,75,0.95,55,15
P767,767,90,65,1.05,45,15
P768,768,100,70,0.95,50,15
P769,769,85,60,1.10,40,15
P770,770,90,65,1.05,45,15
P771,771,100,75,1.00,50,15
P772,772,110,80,0.95,60,15
P773,773,105,70,1.05,55,15
P774,774,100,80,1.00,50,15
P775,775,95,70,1.00,45,15
P776,776,105,75,0.95,55,15
P777,777,90,65,1.05,45,15
P778,778,100,70,0.95,50,15
P779,779,85,60,1.10,40,15
P780,780,90,65,1.05,45,15
P781,781,100,75,1.00,50,15
P782,782,110,80,0.95,60,15
P783,783,105,70,1.05,55,15
P784,784,100,80,1.00,50,15
P785,785,95,70,1.00,45,15
P786,786,105,75,0.95,55,15
P787,787,90,65,1.05,45,15
P788,788,100,70,0.95,50,15
P789,789,85,60,1.10,40,15
P790,790,90,65,1.05,45,15
P791,791,100,75,1.00,50,15
P792,792,110,80,0.95,60,15
P793,793,105,70,1.05,55,15
P794,794,100,80,1.00,50,15
P795,795,95,70,1.00,45,15
P796,796,105,75,0.95,55,15
P797,797,90,65,1.05,45,15
P798,798,100,70,0.95,50,15
P799,799,85,60,1.10,40,15
P800,800,90,65,1.05,45,15
P801,801,100,75,1.00,50,15
P802,802,110,80,0.95,60,15
P803,803,105,70,1.05,55,15
P804,804,100,80,1.00,50,15
P805,805,95,70,1.00,45,15
P806,806,105,75,0.95,55,15
P807,807,90,65,1.05,45,15
P808,808,100,70,0.95,50,15
P809,809,85,60,1.10,40,15
P810,810,90,65,1.05,45,15
P811,811,100,75,1.00,50,15
P812,812,110,80,0.95,60,15
P813,813,105,70,1.05,55,15
P814,814,100,80,1.00,50,15
P815,815,95,70,1.00,45,15
P816,816,105,75,0.95,55,15
P817,817,90,65,1.05,45,15
